0	0
0	0.13889
0	0.27778
0	0.41667
0	0.55556
0	0.69444
0	0.83333
0	0.97222
0	1.1111
0	1.25
0	1.3889
0	1.5278
0	1.6667
0	1.8056
0	1.9444
0	2.0833
0	2.2222
0	2.3611
0	2.5
0	2.6389
0	2.7778
0	2.9167
0	3.0556
0	3.1944
0	3.3333
0	3.4722
0	3.6111
0	3.75
0	3.8889
0	4.0278
0	4.1667
0	4.3056
0	4.4444
0	4.5833
0	4.7222
0	4.8611
0	5
0	5.1389
0	5.2778
0	5.4167
0	5.5556
0	5.6944
0	5.8333
0	5.9722
0	6.1111
0	6.25
0	6.3889
0	6.5278
0	6.6667
0	6.8056
0	6.9444
0	7.0833
0	7.2222
0	7.3611
0	7.5
0	7.6389
0	7.7778
0	7.9167
0	8.0556
0	8.1944
0	8.3333
0	8.4722
0	8.6111
0	8.75
0	8.8889
0	9.0278
0.00042599	9.1667
2.3758	9.3056
23.193	9.4444
66.282	9.5833
121.05	9.7222
178.65	9.8611
234.28	10
285.8	10.139
332.43	10.278
374.09	10.417
411.02	10.556
443.54	10.694
472.03	10.833
496.85	10.972
518.32	11.111
536.72	11.25
552.29	11.389
565.24	11.528
575.73	11.667
583.9	11.806
589.85	11.944
593.65	12.083
595.34	12.222
594.96	12.361
592.49	12.5
587.91	12.639
581.15	12.778
572.14	12.917
560.76	13.056
546.86	13.194
530.27	13.333
510.77	13.472
488.11	13.611
461.98	13.75
432.04	13.889
397.95	14.028
359.31	14.167
315.84	14.306
267.38	14.444
214.21	14.583
157.5	14.722
100.2	14.861
48.47	15
12.576	15.139
0.43964	15.278
8.0007e-11	15.417
0	15.556
0	15.694
0	15.833
0	15.972
0	16.111
0	16.25
0	16.389
0	16.528
0	16.667
0	16.806
0	16.944
0	17.083
0	17.222
0	17.361
0	17.5
0	17.639
0	17.778
0	17.917
0	18.056
0	18.194
0	18.333
0	18.472
0	18.611
0	18.75
0	18.889
0	19.028
0	19.167
0	19.306
0	19.444
0	19.583
0	19.722
0	19.861
0	20
0	20.139
0	20.278
0	20.417
0	20.556
0	20.694
0	20.833
0	20.972
0	21.111
0	21.25
0	21.389
0	21.528
0	21.667
0	21.806
0	21.944
0	22.083
0	22.222
0	22.361
0	22.5
0	22.639
0	22.778
0	22.917
0	23.056
0	23.194
0	23.333
0	23.472
0	23.611
0	23.75
0	23.889
0	24.028
